ID,itemNo,title,description,adminNotes,manufacturer,model,condition,age,weight,catid,pic,quantity,price,lowestPrice,costOfGoods,totalNumberOfPieces,quantitySold,sellingPrice,auctionStartPrice,location,barcode1,barcode2,hold,new,sold,featured,specials,offTruck,consignment,deleted,date,editDate,dateSold,dateDeleted,videoLink,inclInNewsletter,NumberOfViews,clientIP
77893,13090531,Norton Jar Mill,Norton Jar Mill,NULL,Norton,NULL,Good,Mid-aged,NULL,2725,77893.jpg,1,600,0,0,0,1,0,0,Row 5 11-b,NULL,6811,0,0,1,0,0,0,0,0,5/31/2009,10/19/2009,10/19/2009,NULL,NULL,0,0,98.110.127.30
77894,14090531,Corning Ph Meter Model 340,"Corning Ph Meter Model 340, with Pinnacle 3 in 1 Premium gel combo probe. ",NULL,Corning,340,Good,Mid-aged,NULL,2319,77894.jpg,1,,0,0,0,1,,0,Row 17 1-c,NULL,6812,0,0,1,0,0,0,0,0,5/31/2009,9/11/2009,9/11/2009,NULL,NULL,0,0,98.110.127.30
77895,15090531,VWR Scientific Ph Meter Model SB70P,"VWR Scientific Ph Meter Model SB70P, Symp Hony  no probe",NULL,VWR Scientific,SB70B,Excellent,Recent,NULL,2319,77895.jpg,1,300,0,0,0,1,0,0,Row 17 1-b,NULL,6790,0,0,1,0,0,0,0,0,5/31/2009,4/15/2010,4/15/2010,NULL,NULL,0,0,98.110.127.30
77896,16090531,Hall Flowmeter,"Hall Flowmeter, Determines flow rate and apparent density of free-flowing metal powders and apparent density of non-free flowing materials, Carney Funnel #1-492 40.0 sec. brass density cup, 25, cm3 capacity missing.",NULL,Hall Flowmeter,NULL,Good,Older,NULL,2641,77896.jpg,1,150,0,0,0,1,0,0,Row 15 7-c,NULL,6711,0,0,1,0,0,0,0,0,5/31/2009,6/30/2009,6/30/2009,NULL,NULL,0,0,98.110.127.30
77897,17090531,Environmental Compliance Universal Pump Calibrator,"Environmental Compliance Universal Pump Calibrator, Inspectors Model 302",NULL,Environmental Compliance Corp,Inspector's 302,Good,Older,NULL,3278,77897.jpg,1,,0,0,1,0,,0,Row 15 7-c,NULL,6892,0,0,0,0,0,0,0,1,5/31/2009,6/1/2011,NULL,6/1/2011,NULL,0,0,98.110.127.30
77898,1090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 25 sccm SO2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77898.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6793,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,7/17/2009,NULL,NULL,0,0,98.110.127.30
77899,2090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 2 SLPM CO",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77899.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6794,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,7/17/2009,NULL,NULL,0,0,98.110.127.30
77900,3090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 20 SLPM N2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77900.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6795,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77901,4090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 3 SLPM CO",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77901.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6796,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77902,5090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 1 SLPM Cl2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77902.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6797,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77903,6090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 20 SCCM Cl2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77903.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6798,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77904,7090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 10 SCCM Cl2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77904.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6799,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77905,8090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 5 SCCM COS",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77905.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6800,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77906,9090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 100 SCCM CO",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77906.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6801,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77907,10090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 100 SCCM Argon",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77907.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6802,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77908,11090601,Brooks Instrument Mass Flow Controller Model 5850E,"Brooks Instrument Mass Flow Controller Model 5850E, accurately measures and controls gas flows, with D type connector. Flow rate range: 5 SCCM CL2",NULL,Brooks Instrument,5850E,Good,Recent,NULL,2512,77908.jpg,1,,0,0,1,1,,0,Row 14 7-c,NULL,6803,0,0,1,0,0,0,0,0,6/1/2009,3/17/2011,1/5/2011,NULL,NULL,0,0,98.110.127.30
77909,12090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 10 SCCM He</p>  ",Sold for $150 + ship,Brooks Instrument,5850C,Good,Recent,NULL,2512,77909.jpg,1,,0,0,1,1,0,0,Row 14 7-c,NULL,6804,0,0,1,0,0,0,0,0,6/1/2009,6/28/2012,6/28/2012,NULL,NULL,0,0,98.110.127.30
77910,13090601,Brooks Instrument Mass Flow Controller Model 5850C,"Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows,  Flow rate range: 200 SCCM Air",NULL,Brooks Instrument,5850C,Good,Recent,NULL,2512,77910.jpg,1,,0,0,1,0,0,0,Row 14 7-c,NULL,6805,0,0,0,0,0,0,0,1,6/1/2009,6/1/2011,NULL,6/1/2011,NULL,0,0,98.110.127.30
77911,14090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 1 SLPM He</p>  ",NULL,Brooks Instrument,5850C,Good,Recent,NULL,2512,77911.jpg,1,,0,0,1,0,,0,Row 14 6-c,NULL,6806,0,0,0,0,0,0,0,0,6/1/2009,4/19/2013,NULL,NULL,NULL,0,0,98.110.127.30
77912,15090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 0.5 SLPM N2</p>  <p>   <span style=""font-size: 14px""><strong><span style=""background-color: rgb(255,255,0)"">BEING SOLD AS IS WITH NO WARRANTY</span></strong></span></p>  <p>   &nbsp;</p>  ",Emailed quote of $200 to Mariano Perez in Spain on 4-5-2013 (Mark)   ,Brooks Instrument,5850C,Good,Recent,NULL,2512,77912.jpg,1,200,0,0,1,0,,0,Row 14 6-d,NULL,6807,0,0,0,0,0,0,0,0,6/1/2009,6/7/2013,NULL,NULL,NULL,0,0,98.110.127.30
77913,16090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 1 SLPM He</p>  ",NULL,Brooks Instrument,5850C,Good,Recent,NULL,2512,77913.jpg,1,,0,0,1,0,,0,Row 14 6-c,NULL,6809,0,0,0,0,0,0,0,0,6/1/2009,4/19/2013,NULL,NULL,NULL,0,0,98.110.127.30
77914,17090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 1000 SCCM Cl2</p>  ",NULL,Brooks Instrument,5850C,Good,Recent,NULL,2512,77914.jpg,1,,0,0,1,0,,0,Row 14 6-c,NULL,6810,0,0,0,0,0,0,0,0,6/1/2009,4/19/2013,NULL,NULL,NULL,0,0,98.110.127.30
77915,18090601,Brooks Instrument Mass Flow Controller Model 5850C,"<p>   Brooks Instrument Mass Flow Controller Model 5850C, accurately measures and controls gas flows, Flow rate range: 1000 SCCM N2</p>  ",Emailed quote of $200 to David Ruhter at Univ of Illinois on 6-5-2013 (Mark)    ,Brooks Instrument,5850C,Good,Recent,NULL,2512,77915.jpg,1,200,0,0,1,0,0,0,Row 14 6-c,NULL,6808,0,0,0,0,0,0,0,0,6/1/2009,6/5/2013,NULL,NULL,NULL,0,0,71.225.86.90
77922,1090602,Parr 1 Liter High Pressure Reactor System,"Parr 1 Liter High Pressure T316 stainless steel Reactor System, Air motor type,  with Magnetic coupled stirring, o-ring gasket seal. Pmax 1900 lbs @ 300 C for FFKM seal 2006, and 1900 lbs @ 225 C for FKM seal, with heater and controller, vessel Model Number 274HC10 T316 011606 R1251, Head model number 2740HC T316 042701 21497.",NULL,Parr Engineering,1 liter,Good,Current,NULL,2838,77922.jpg,1,9000,0,0,0,1,0,0,Row 12 11-b,04897/06834,4896,0,0,1,0,0,0,0,0,6/2/2009,10/13/2009,10/13/2009,NULL,http://www.myvideouploads.com/users/1002/myvideo.aspx?VideoID=542,0,0,98.110.127.30
77924,1090604,Zymar TurboVap LV,"Zymark TurboVap LV Concentration Workstation, 4 tube sections, for 24 tubes, 25 mm dia. in excellent shape ",NULL,Zymar,TurboVap LV,Excellent,Recent,NULL,2488,77924.jpg,1,2700,0,0,0,1,0,0,Row 5 8-d,NULL,3081,0,0,0,0,0,0,0,1,6/4/2009,4/5/2010,NULL,4/5/2010,NULL,0,0,98.110.127.30
77925,2090604,Waters HPLC Pump Model 590,Water HPLC Pump Model 590,NULL,Waters,590,Good,Mid-aged,NULL,2467,77925.jpg,1,902,0,0,1,0,0,0,Row 11 8-c,NULL,6789,0,0,0,0,0,0,0,0,6/4/2009,9/28/2011,NULL,NULL,NULL,0,0,98.110.127.30
77926,3090604,Branson Ultrasonic Bath Model 1510,"Branson Ultrasonic Bath Model 1510, with timer",NULL,Branson ,1510R-MT,Like New,Current,NULL,2901,77926.jpg,1,,0,0,1,0,,0,Row 15 2-b,NULL,6782,0,0,0,0,0,0,0,1,6/4/2009,6/27/2011,NULL,6/27/2011,NULL,0,0,98.110.127.30
77927,4090604,Labconco  Centrivap Cold Trap,"Labconco Centrivap Cold Trap Model 78110-00, Equipped with a CFC-free refrigeration system and a 0.25 horsepower compressor, the cold trap achieves a temperature of -55°C  ",NULL,Labconco,78110-00,Excellent,Current,NULL,2495,77927.jpg,1,2500,0,0,1,0,0,0,BRow 1 4-b,NULL,6726,0,0,0,0,0,0,0,0,6/4/2009,2/8/2011,NULL,NULL,NULL,0,0,98.110.127.30
77928,5090604,Hoke 2100 Series Needle Valve Model 2112G4Y,"Hoke 2100 Series Needle Valve Model 2112G4Y, Stainless Steel, rated 6000 psig, with 1/4"" Gyrolok fittings",NULL,Hoke ,2112G4Y,Like New,Current,NULL,2923,77928.jpg,4,,0,0,1,0,0,0,BRow 3 1-a,NULL,6757,0,0,0,0,0,0,0,2,6/4/2009,6/7/2011,NULL,6/7/2011,NULL,0,0,98.110.127.30
77929,6090604,Hoke  2100 Series Needle Valve Model  2112G4Y,"Hoke 2100 Series Needle Valve Model 2112G4Y, Stainless Steel, rated 6000 psig, with 1/4"" Gyrolok fittings",NULL,Hoke ,2112G4Y,Like New,Current,NULL,2923,77929.jpg,5,50,0,0,1,0,0,0,BRow 3 1-a,NULL,6758,0,0,0,0,0,0,0,2,6/4/2009,6/7/2011,NULL,6/7/2011,NULL,0,0,98.110.127.30
